"filename", "language", "JSON with Comments", "JSON", "Markdown", "TypeScript", "HTML", "SCSS", "comment", "blank", "total"
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\services\household-chores.service.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 4, 18
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\services\open-ai.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 5, 17
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\services\open-ai.service.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 1, 7, 42
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\services\order.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 5, 17
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\services\order.service.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 1, 9, 52
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\services\route-guard.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 5, 17
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\services\route-guard.service.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 6, 35
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\services\token-interceptor.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 5, 17
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\services\token-interceptor.service.ts", "TypeScript", 0, 0, 0, 41, 0, 0, 0, 4, 45
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\services\worker-service.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 5, 17
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\services\worker-service.service.ts", "TypeScript", 0, 0, 0, 61, 0, 0, 0, 15, 76
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\shared\material-module.ts", "TypeScript", 0, 0, 0, 89, 0, 0, 0, 3, 92
"d:\FPTU\SWP391\Frontend\swp-frontend\src\index.html", "HTML", 0, 0, 0, 0, 22, 0, 0, 1, 23
"d:\FPTU\SWP391\Frontend\swp-frontend\src\main.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 1, 5, 10
"d:\FPTU\SWP391\Frontend\swp-frontend\src\styles.scss", "SCSS", 0, 0, 0, 0, 0, 42, 3, 5, 50
"d:\FPTU\SWP391\Frontend\swp-frontend\tsconfig.app.json", "JSON", 0, 15, 0, 0, 0, 0, 1, 1, 17
"d:\FPTU\SWP391\Frontend\swp-frontend\tsconfig.json", "JSON with Comments", 32, 0, 0, 0, 0, 0, 1, 1, 34
"d:\FPTU\SWP391\Frontend\swp-frontend\tsconfig.spec.json", "JSON", 0, 8, 0, 0, 0, 0, 1, 1, 10
"Total", "-", 32, 13305, 2, 2781, 1793, 937, 178, 697, 19725
